"Read Details","Lees details"
"Get Publisher ID from PayPal","Uitgever-ID ophalen van PayPal"
"Home Page","Home pagina"
Display,Weergave
Position,Positie
Size,Grootte
"Catalog Category Page","Catalogus Categorie-pagina"
"Catalog Product Page","Catalogus productpagina"
"Checkout Cart Page","Winkelwagen-afreken pagina"
"Basic Settings - PayPal Express Checkout","Basisinstellingen - PayPal Express Checkout"
Title,Titel
"It is recommended to set this value to ""PayPal"" per store views.","Wij raden aan om deze waarde op ""PayPal"" in te stellen per winkelaanzicht."
"Sort Order","Sorteer Bestelling"
"Payment Action",Betaling
"Display on Product Details Page","Weergave op Product Details pagina"
"Advanced Settings","Geavanceerde Instellingen"
"Display on Shopping Cart","Toon in Winkelwagen"
"Also affects mini-shopping cart.","Ook van invloed op de mini-winkelwagen."
"Debug Mode","Debug modues"
"Enable SSL verification","SSL-verificatie inschakelen"
"If this option is enabled customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Indien deze optie aan staat kan de klant zijn verzendadres en verzendmethode aanpassen op de PayPal website. Dit werkt enkel via het HTTPS protocol."
"Ability for buyer to purchase without PayPal account.","Koper kan zonder een PayPal account ook afrekenen (PayPal account is niet verplicht)"
"This feature needs be enabled first for the merchant account through PayPal technical support.","Deze functionaliteit moet eerst ingeschakeld zijn bij het merchant account. Dit kan gedaan worden via PayPal's technische support."
"Billing Agreement Signup","Aanmelden Incasso-overeenkomsten"
"Skip Order Review Step","Order-controle stap overslaan"
"PayPal Billing Agreement Settings","PayPal Incasso-Overeenkomst instellingen"
Enabled,Ingeschakeld
"Allow in Billing Agreement Wizard","Toestaan in incasso-overeenkomsten-wizard"
Login,"Log in"
Password,Wachtwoord
Schedule,Rooster
"Page Style",Paginastijl
"Page Background Color",Pagina-achtergrondkleur
"Payments Advanced (Includes Express Checkout)","Geavanceerde betalingen (inclusief Express Checkout)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accepteer betalingen met een PCI-compatibele checkout die klanten op uw site houdt."
"Payments Advanced and Express Checkout","Geavanceerde betalingen en Express Checkout"
Vendor,Verkoper
User,Gebruiker
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal raadt aan dat u een extra gebruiker instelt op uw account op manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User you can re-enter your Merchant Login here.","PayPal raadt aan dat u een extra gebruiker instelt op uw account op manager.paypal.com in plaats van uw admin gebruikersnaam en wachtwoord hier in te geven. Dit zal uw veiligheid vergroten en voorkomt onderbrekingen van de dienst als u uw wachtwoord later wilt wijzigen. Als u geen extra gebruiker wilt instellen kunt u opnieuw uw handelaars Login hier invoeren."
"Test Mode","Test Modus"
"Use Proxy","Proxy Gebruiken"
"Basic Settings - PayPal Payments Advanced","Basisinstellingen - Geavanceerde PayPal betalingen"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Wij raden aan om deze waarde op ""Debit or Credit Card"" in te stellen per winkelaanzicht."
"CVV Entry is Editable","CVV vermelding is bewerkbaar"
"Send Email Confirmation","Verzenden van e-mailbevestiging"
"URL method for Cancel URL and Return URL","URL methode voor annuleer-URL en retour-URL"
"Payflow Link (Includes Express Checkout)","Payflow Link (inclusief Express Checkout)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Koppel uw merchant account met een compatibele PCI gatewway waardoor klanten kunnen betalen zonder uw site te verlaten."
"Payflow Link and Express Checkout","Payflow Link en Express Checkout"
"Email Associated with PayPal Merchant Account (Optional)","E-mailadres gekoppeld aan PayPal Merchant Account (optioneel)"
"If you do not have multiple users set up on your account please re-enter your Vendor/Merchant Login here.","Als u nog geen meerdere gebruikers heeft ingesteld op uw account voer dan opnieuw uw leverancier/merchant login hier in."
"Enable Payflow Link","Payflow Link inschakelen"
"Enable Express Checkout","Express Checkout inschakelen"
"Basic Settings - PayPal Payflow Link","Basisinstellingen - PayPal Payflow Link"
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accepteer betalingen met een PCI compatibele checkout die klanten op uw site houdt."
"Payments Pro Hosted Solution","Gehoste Betalingen Pro oplossing"
"Basic Settings - PayPal Payments Pro Hosted Solution","Basisinstellingen - Gehoste PayPal Payments Pro oplossing"
"Website Payments Pro Hosted Solution and Express Checkout","Hosted Website Payments Pro en Express kassa"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Basisinstellingen - gehoste PayPal Website Payments Pro oplossing"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Sluit uw merchant account op een volledig aanpasbare gateway aan waarmee uw klanten betalen zonder uw site te verlaten."
"Vault enabled","Kluis ingeschakeld"
"Basic Settings - PayPal Payflow Pro","Basisinstellingen - PayPal Payflow Pro"
"Vault Title","Titel Kluis"
"Allowed Credit Card Types","Toegestane credit card typen"
"CVV and AVS Settings","CVV en AVS instellingen"
"Reject Transaction if:","Transactie afwijzen als:"
"AVS Street Does Not Match","AVS straat komt niet overeen"
"AVS Zip Does Not Match","AVS Postcode komt niet overeen"
"International AVS Indicator Does Not Match","Internationale AVS Indicator komt niet overeen"
"Card Security Code Does Not Match","Card Security Code komt niet overeen"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (inclusief Express Checkout)"
"Payflow Pro and Express Checkout","Payflow Pro en Express Checkout"
"Persistent Shopping Cart","Winkelwagen volgen"
"General Options","Algemene opties"
"Enable Persistence","Activeer het volgen van de winkelwagen"
"Persistence Lifetime (seconds)","Levensduur in seconden"
"Enable ""Remember Me""","Activeer ""Onthoud mij"""
"""Remember Me"" Default Value","""Onthoud mij"" Standaardwaarde"
"Clear Persistence on Sign Out","Bij afmelden ""aangemeld blijven"" verwijderen"
"Persist Shopping Cart","Winkelwagen volgen"
"Product Alerts",Product-notificaties
"Allow Alert When Product Price Changes","Melding toestaan bij prijswijziging"
"Allow Alert When Product Comes Back in Stock","Melding toestaan als product weer op voorraad is"
"Price Alert Email Template","Sjabloon e-mail met prijsmelding"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Stock Alert Email Template","Sjabloon e-mail met voorraadmelding"
"Alert Email Sender","Afzender Waarschuwing E-mail"
"Product Alerts Run Settings","Product notificaties uitvoer-instellingen"
Frequency,Frequentie
"Start Time","Begin Tijd"
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Afzender Error E-mail"
"Error Email Template","E-mailtemplate voor foutmelding"
"Notify me when the price drops","Houd mij op de hoogte wanneer de prijs daalt"
"Notify me when this product is in stock","Informeer mij wanneer dit product op voorraad is"
"Product Video",Productvideo
"Autostart base video","Start basisvideo automatisch"
"Show related video","Toon verwante video"
"Auto restart video","Video automatisch herstarten"
"Images And Videos","Afbeeldingen en video's"
Carts,Winkelwagens
"Manage carts","Winkelwagens beheren"
"Products in Cart","Producten in winkelwagen"
"Abandoned Cart","Achtergelaten winkelwagen"
"Search Terms",Zoektermen
"By Customers","Per klant"
"By Products","Per product"
Refunds,Terugbetalingen
"Order Total",Totaal
"Order Count",Orderaantal
New,Nieuw
Ordered,Besteld
"Recently Viewed/Compared Products","Recent bekeken/vergeleken producten"
"Show for Current","Tonen voor huidige"
"Default Recently Viewed Products Count","Standaard-aantal onlangs bekeken producten"
"Default Recently Compared Products Count","Standaard-aantal onlangs vergeleken producten"
"Year-To-Date Starts","Startdatum financieel jaar"
"Current Month Starts","Huidige maand start"
"Select day of the month.","Selecteer dag van de maand"
"Recently Viewed Products","Recent bekeken producten"
"List of Products Recently Viewed by Visitor","Overzicht van producten die recentelijk door bezoekers bekeken zijn."
"Number of Products to display","Aantal producten tonen"
"Viewed Products Grid Template","Bekeken producten tabel-sjabloon"
"Viewed Products List Template","Bekeken producten lijst-sjabloon"
"Viewed Products Images and Names Template","Nieuwe product afbeeldingen en namen sjabloon"
"Viewed Products Names Only Template","Enkel bekeken productnamen sjabloon"
"Viewed Products Images Only Template","Enkel bekeken productafbeeldingen sjabloon"
"Recently Compared Products","Recent vergeleken producten"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Overzicht van producten die recentelijk door bezoekers op de vergelijkingslijst zijn gezet."
"Compared Products Grid Template","Vergeleken producten tabel-sjabloon"
"Compared Products List Template","Vergeleken producten lijst-sjabloon"
"Compared Products Images and Names Template","Vergeleken product afbeeldingen en namen template"
"Compared Product Names Only Template","Alleen vergeleken productafbeeldingen sjabloon"
"Compared Product Images Only Template","Alleen vergeleken productafbeeldingen sjabloon"
Average,Gemiddeld
"Stock Quantity",Voorraadaantal
"Ordered Quantity","Bestelde aantal"
"The report displays the top 5 most viewed products for each interval.","Het rapport bevat de top 5 meest bekeken producten voor elk interval."
"For accurate reporting be sure to refresh lifetime statistics whenever you change the time zone.","Voor een nauwkeurige verslaggeving ververs de levensduur van de statistieken telkens als u de tijdzone wijzigt."
Guest,Bezoeker
Action,Actie
"Average (Approved)","Gemiddelde (goedgekeurd)"
"Last Review","Laatste Review"
"Order Created","Order gemaakt"
"Order Updated",Bestellingsupdate
"The Order Updated report is created in real time and does not require a refresh.","Het Bijgewerkte Order overzicht wordt in real-time is gemaakt en hoeft niet vernieuwd te worden."
"Last Invoice Created Date","Laatste factuur aangemaakt op"
"Last Credit Memo Created Date","Laatste creditfactuur aangemaakt op"
"First Invoice Created Date","Eerste factuur aangemaakt op"
"Refresh Lifetime Statistics","Vernieuw Statistieken complete historie"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Weet u zeker dat u de complete levensduur statistieken nu wilt vernieuwen? Deze bewerking kan het winkelen door uw klanten vertragen."
"Refresh Statistics for the Last Day","Vernieuw Statistieken van vandaag"
"Are you sure you want to refresh statistics for the last day?","Weet u zeker dat u de statistieken van afgelopen dag wilt vernieuwen?"
Report,Verslag
Description,Beschrijving
undefined,"niet van toepassing"
"By Customers","Per klant"
"By Products","Per product"
"Allow Guests to Write Reviews","Reviews door gasten toestaan"
Active,Actief
Inactive,Inactief
"RSS Feeds Section","RSS Feeds Sectie"
"RSS Feeds","RSS feeds"
"Rss Config","RSS configuratie"
"Enable RSS","RSS inschakelen"
Promotion,Aanbieding
"Auto Generated Specific Coupon Codes","Automatisch gegenereerde coupon codes."
"Web Site",Website
Priority,Prioriteit
"Cart Price Rule","Winkelwagen prijs regels"
Back,Terug
"Rule Information","Regel Informatie"
"Rule Name","Regel Naam"
Description,Beschrijving
"Customer Groups",Klantengroepen
Coupon,Tegoedbon
"Use Auto Generation","Gebruik auto-aanmaken"
"Uses per Coupon","Totale aantal beschikbaar"
"Uses per Customer","Aantal per klant beschikbaar"
From,Van
To,Aan
"Public In RSS Feed","Publiceren in RSS-feed"
Apply,"Actie type"
"Discount Amount",Korting
"Maximum Qty Discount is Applied To","Maximaal aantal waarop korting is toegepast (per product)"
"Discount Qty Step (Buy X)","Koop X-aantal (aantal dat klant moet kopen voordat hij Y-aantal gratis krijgt)"
"Discount amount is applied to subtotal only","Kortingsbedrag wordt alleen toegepast op subtotaal"
"Discount amount is applied to subtotal and shipping amount separately","Kortingsbedrag wordt los toegepast op subtotaal en verzending"
"Apply to Shipping Amount","Pas toe op afleverkosten"
